Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,Delivery_Days,Past_Orders,Past_Returns,Past_Return_Rate,Region
ORD00009254,PROD00009254,USER00009254,2023-11-19,,Automotive,470.81,1,,Not Returned,,34,Male,City36,Credit Card,Next-Day,22.95,1,6,3,0.5,North
ORD00001561,PROD00001561,USER00001561,2024-08-12,,Electronics,218.28,9,,Not Returned,,54,Male,City35,Wallet,Next-Day,0.0,1,5,1,0.2,South
ORD00001670,PROD00001670,USER00001670,2024-03-14,1.7116704e+18,Clothing,127.67,2,Damaged,Returned,15.0,33,Male,City30,Credit Card,Standard,12.77,5,3,0,0.0,South
ORD00006087,PROD00006087,USER00006087,2023-11-25,,Toys,220.17,1,,Not Returned,,55,Female,City03,Credit Card,Next-Day,24.73,1,2,0,0.0,West
ORD00006669,PROD00006669,USER00006669,2024-10-06,,Toys,140.95,1,,Not Returned,,54,Female,City23,Debit Card,Express,0.0,3,3,0,0.0,East
ORD00005933,PROD00005933,USER00005933,2023-07-27,,Beauty,229.02,2,,Not Returned,,64,Male,City33,PayPal,Express,0.0,3,6,1,0.167,West
ORD00008829,PROD00008829,USER00008829,2023-05-06,,Electronics,175.64,3,,Not Returned,,54,Male,City21,Cash on Delivery,Standard,0.0,5,3,0,0.0,South
ORD00007945,PROD00007945,USER00007945,2023-04-11,1.6828992e+18,Clothing,160.75,1,Size Issue,Returned,20.0,25,Female,City32,Debit Card,Next-Day,8.32,1,5,1,0.2,East
ORD00003508,PROD00003508,USER00003508,2024-07-11,1.72152e+18,Home,48.29,1,Wrong Item,Returned,10.0,53,Male,City47,PayPal,Next-Day,0.0,3,1,1,1.0,South
ORD00002002,PROD00002002,USER00002002,2023-08-29,,Home,168.68,2,,Not Returned,,24,Male,City07,Debit Card,Next-Day,0.0,1,1,0,0.0,West
